,County,Zip_Code
0,Kern County,93225
1,Los Angeles County,91206
2,Orange County,92627
3,Contra Costa County,94553
4,Ventura County,93010
5,Mariposa County,95345
6,Santa Barbara County,93437
7,Napa County,94558
8,Ventura County,93063
9,Placer County,95681
10,San Diego County,92091
11,Santa Clara County,94086
12,Sacramento County,95843
13,San Diego County,91942
14,Tulare County,93286
15,Marin County,94956
16,San Diego County,92078
17,San Mateo County,94015
18,Santa Clara County,95037
19,Madera County,93601
20,Humboldt County,95550
21,Fresno County,93648
22,Stanislaus County,95358
23,Sonoma County,95442
24,Humboldt County,95503
25,San Mateo County,94038
26,Los Angeles County,90058
27,Los Angeles County,90063
28,Imperial County,92231
29,Shasta County,96003
30,Santa Clara County,95046
31,San Joaquin County,95209
32,Los Angeles County,90003
33,Los Angeles County,90255
34,San Diego County,92129
35,Alameda County,94539
36,Sonoma County,95405
37,Santa Clara County,95126
38,Los Angeles County,91042
39,Tulare County,93291
40,San Joaquin County,95240
41,Napa County,94515
42,San Joaquin County,95230
43,Siskiyou County,96134
44,Mono County,96107
45,Ventura County,93023
46,Riverside County,92241
47,Los Angeles County,91605
48,Marin County,94937
49,Sonoma County,95404
50,Santa Clara County,95131
51,Los Angeles County,90744
52,Stanislaus County,95357
53,San Diego County,92113
54,Los Angeles County,90275
55,Sonoma County,95452
56,Calaveras County,95255
57,Los Angeles County,90062
58,San Bernardino County,92256
59,Los Angeles County,93563
60,San Luis Obispo County,93428
61,Del Norte County,95548
62,Fresno County,93650
63,Napa County,94508
64,Merced County,95333
65,Humboldt County,95560
66,San Diego County,92122
67,Los Angeles County,91755
68,Los Angeles County,91381
69,Sacramento County,95660
70,Los Angeles County,91746
71,Lake County,95443
72,Los Angeles County,91803
73,Los Angeles County,90403
74,San Joaquin County,95240
75,Los Angeles County,90001
76,Solano County,94533
77,San Joaquin County,95204
78,Riverside County,92592
79,San Diego County,92028
80,San Luis Obispo County,93422
81,Merced County,95365
82,Ventura County,93021
83,Santa Barbara County,93463
84,Napa County,94515
85,Los Angeles County,90638
86,Kern County,93516
87,San Diego County,92078
88,Stanislaus County,95313
89,Tuolumne County,95379
90,San Diego County,92120
91,Placer County,95603
92,Fresno County,93725
93,Fresno County,93616
94,San Mateo County,94065
95,San Bernardino County,92285
96,Los Angeles County,90250
97,San Luis Obispo County,93445
98,Kings County,93202
99,Yolo County,95612
100,Orange County,92620
101,Santa Cruz County,95066
102,Stanislaus County,95368
103,Humboldt County,95519
104,San Mateo County,94027
105,Orange County,92649
106,Riverside County,92320
107,San Mateo County,94014
108,Lake County,95461
109,Alameda County,94705
110,Kern County,93249
111,Orange County,92844
112,Riverside County,92203
113,Ventura County,93033
114,San Diego County,92122
115,San Diego County,92027
116,Riverside County,92553
117,San Bernardino County,91710
118,Sacramento County,95820
119,San Diego County,92117
120,Stanislaus County,95380
121,Imperial County,92231
122,Tuolumne County,95321
123,Santa Cruz County,95033
124,Fresno County,93611
125,Los Angeles County,91364
126,Riverside County,92592
127,Merced County,95334
128,Tulare County,93274
129,Santa Barbara County,93427
130,Los Angeles County,93552
131,Orange County,92655
132,Sacramento County,95630
133,Alameda County,94619
134,Marin County,94960
135,Los Angeles County,91010
136,Riverside County,92530
137,Orange County,92672
138,Los Angeles County,90004
139,Los Angeles County,90241
140,Sonoma County,94923
141,Yuba County,95925
142,San Bernardino County,92338
143,Santa Clara County,95051
144,Riverside County,92571
145,Humboldt County,95540
146,San Diego County,92122
147,Los Angeles County,91773
148,El Dorado County,95672
149,San Diego County,92122
150,El Dorado County,95651
151,San Diego County,92078
152,Santa Barbara County,93436
153,El Dorado County,95664
154,San Francisco County,94133
155,Los Angeles County,91345
156,Los Angeles County,90040
157,Los Angeles County,90710
158,San Francisco County,94108
159,Los Angeles County,90301
160,Los Angeles County,90015
161,San Mateo County,94060
162,Monterey County,95004
163,Tulare County,93603
164,Fresno County,93648
165,Inyo County,92328
166,Los Angeles County,91744
167,Fresno County,93656
168,San Francisco County,94104
169,Butte County,95916
170,Sonoma County,95439
171,Santa Cruz County,95010
172,San Diego County,92109
173,Los Angeles County,91711
174,Los Angeles County,91207
175,Los Angeles County,90248
176,San Diego County,92028
177,San Francisco County,94134
178,San Diego County,92126
179,Orange County,92703
180,Merced County,95369
181,San Bernardino County,92404
182,Humboldt County,95542
183,Los Angeles County,90807
184,San Bernardino County,91784
185,El Dorado County,95762
186,Sonoma County,95403
187,Los Angeles County,90265
188,Sonoma County,95401
189,Fresno County,93656
190,Ventura County,93035
191,Los Angeles County,93591
192,Los Angeles County,91723
193,Los Angeles County,93591
194,Humboldt County,95546
195,Los Angeles County,90802
196,Humboldt County,95564
197,Trinity County,95527
198,Orange County,92844
199,Lassen County,96121
200,Shasta County,96007
201,San Diego County,92122
202,San Diego County,92123
203,San Luis Obispo County,93453
204,Orange County,92869
205,Los Angeles County,90033
206,Santa Clara County,95111
207,San Diego County,92109
208,Amador County,95640
209,San Mateo County,94404
210,San Diego County,92117
211,Los Angeles County,90034
212,San Francisco County,94130
213,Santa Cruz County,95062
214,Riverside County,92596
215,San Diego County,92021
216,Los Angeles County,91403
217,Riverside County,92860
218,Los Angeles County,93532
219,Los Angeles County,90723
220,Orange County,92675
221,Calaveras County,95228
222,Los Angeles County,91724
223,Colusa County,95932
224,Orange County,90630
225,Sacramento County,95814
226,Los Angeles County,93534
227,Orange County,92867
228,Monterey County,93926
229,Los Angeles County,90045
230,San Diego County,92173
231,Marin County,94949
232,Santa Clara County,95020
233,Ventura County,91377
234,San Mateo County,94080
235,Stanislaus County,95385
236,Santa Clara County,95117
237,Santa Clara County,94089
238,Orange County,92660
239,San Francisco County,94133
240,Santa Clara County,94305
241,Los Angeles County,90041
242,Stanislaus County,95380
243,Los Angeles County,90210
244,Riverside County,92503
245,Orange County,90720
246,Fresno County,93710
247,San Diego County,92025
248,Los Angeles County,90247
249,San Diego County,92024
250,Sacramento County,95829
251,Humboldt County,95555
252,Santa Clara County,95118
253,Los Angeles County,91732
254,Los Angeles County,90212
255,Orange County,90631
256,Tulare County,93277
257,San Francisco County,94114
258,Los Angeles County,90602
259,Los Angeles County,90822
260,San Joaquin County,95215
261,San Bernardino County,92332
262,Santa Clara County,95030
263,Nevada County,95949
264,San Diego County,92117
265,Tulare County,93291
266,Santa Clara County,95112
267,Fresno County,93722
268,San Diego County,92117
269,Merced County,95369
270,Los Angeles County,91316
271,Los Angeles County,90706
272,Tuolumne County,95370
273,San Bernardino County,92346
274,Marin County,94949
275,Riverside County,92592
276,Los Angeles County,90071
277,Los Angeles County,90805
278,San Diego County,92027
279,Sonoma County,94954
280,Kern County,93501
281,Siskiyou County,96014
282,Sonoma County,94922
283,Stanislaus County,95316
284,San Bernardino County,92397
285,Monterey County,93940
286,Santa Clara County,94301
287,Tuolumne County,95327
288,Santa Clara County,95008
289,Humboldt County,95511
290,Orange County,92843
291,Shasta County,96069
292,Los Angeles County,91406
293,San Diego County,92026
294,Modoc County,96104
295,Los Angeles County,90717
296,Lake County,95451
297,Sacramento County,95662
298,Tuolumne County,95364
299,Orange County,92672
300,Yuba County,95903
301,Sacramento County,95835
302,Plumas County,95947
303,Mendocino County,95437
304,Sonoma County,94954
305,Riverside County,92254
306,Los Angeles County,90504
307,San Bernardino County,92394
308,San Diego County,92064
309,Santa Barbara County,93109
310,Plumas County,95983
311,Humboldt County,95550
312,San Diego County,91962
313,Sonoma County,95401
314,San Mateo County,94021
315,Butte County,95914
316,Yolo County,95637
317,Riverside County,92508
318,Sacramento County,95742
319,San Bernardino County,92310
320,San Diego County,91941
321,Plumas County,95923
322,San Diego County,92091
323,Santa Clara County,95116
324,Los Angeles County,90290
325,Yolo County,95607
326,Ventura County,93033
327,Orange County,90680
328,Sacramento County,95818
329,San Joaquin County,95219
330,Santa Cruz County,95018
331,Trinity County,96052
332,Los Angeles County,91352
333,Riverside County,92539
334,Los Angeles County,90201
335,Butte County,95942
336,San Diego County,91935
337,Los Angeles County,91702
338,San Diego County,92028
339,San Diego County,92122
340,Shasta County,96065
341,San Joaquin County,95242
342,Mendocino County,95585
343,Nevada County,95975
344,Sonoma County,94952
345,Mariposa County,95325
346,Solano County,95620
347,Tehama County,96029
348,Riverside County,92274
349,Contra Costa County,94549
350,Los Angeles County,90210
351,Alameda County,94588
352,Shasta County,96096
353,Alameda County,94502
354,Sacramento County,95638
355,Sonoma County,95446
356,San Diego County,91932
357,San Diego County,92117
358,Solano County,94510
359,Los Angeles County,90049
360,San Francisco County,94112
361,Shasta County,96007
362,Plumas County,96020
363,Merced County,95324
364,Fresno County,93648
365,Santa Clara County,95133
366,Riverside County,92503
367,Nevada County,95946
368,Santa Clara County,95148
369,Kern County,93304
370,Plumas County,95983
371,Siskiyou County,96027
372,Glenn County,95988
373,Sacramento County,95655
374,Marin County,94930
375,Humboldt County,95547
376,Sonoma County,95444
377,Kern County,93263
378,San Diego County,92028
379,Los Angeles County,90601
380,San Luis Obispo County,93452
381,Alameda County,94552
382,Yuba County,95961
383,San Diego County,92066
384,Fresno County,93621
385,Mendocino County,95427
386,San Diego County,92084
387,Santa Cruz County,95073
388,Shasta County,96019
389,Los Angeles County,91343
390,Sacramento County,95670
391,Kern County,93280
392,Orange County,92840
393,Los Angeles County,91103
394,Shasta County,96069
395,Calaveras County,95228
396,Orange County,92618
397,Los Angeles County,91602
398,Los Angeles County,90270
399,Los Angeles County,91321
400,Calaveras County,95247
401,Orange County,92673
402,San Diego County,92122
403,Humboldt County,95536
404,Humboldt County,95521
405,Riverside County,92592
406,Marin County,94960
407,Stanislaus County,95307
408,Sacramento County,95758
409,Sacramento County,95693
410,Trinity County,96024
411,Riverside County,92282
412,Nevada County,95977
413,Madera County,93614
414,Los Angeles County,91702
415,Merced County,95348
416,Riverside County,92536
417,Kern County,93501
418,San Mateo County,94060
419,Riverside County,92264
420,San Bernardino County,91739
421,Monterey County,93955
422,Nevada County,95959
423,Sonoma County,95462
424,San Bernardino County,92256
425,San Joaquin County,95240
426,Sonoma County,95405
427,San Bernardino County,91709
428,Madera County,93610
429,San Bernardino County,92371
430,Mendocino County,95432
431,Los Angeles County,90065
432,Kern County,93308
433,Orange County,92870
434,San Mateo County,94065
435,Mendocino County,95417
436,Fresno County,93727
437,Yolo County,95694
438,Los Angeles County,91765
439,San Bernardino County,92368
440,Orange County,90620
441,Contra Costa County,94805
442,Siskiyou County,96097
443,Los Angeles County,90066
444,San Joaquin County,95203
445,Los Angeles County,91103
446,Sacramento County,95626
447,Los Angeles County,91343
448,Los Angeles County,90023
449,Ventura County,91361
450,San Diego County,91941
451,Santa Barbara County,93105
452,San Diego County,92103
453,Tuolumne County,95346
454,Santa Clara County,95035
455,Los Angeles County,90069
456,San Joaquin County,95207
457,Madera County,93637
458,Riverside County,92860
459,San Mateo County,94019
460,Yolo County,95616
461,San Diego County,92028
462,Mendocino County,95429
463,San Joaquin County,95337
464,Fresno County,93706
465,Los Angeles County,90064
466,San Luis Obispo County,93433
467,San Mateo County,94062
468,Los Angeles County,90240
469,Inyo County,92328
470,San Francisco County,94114
471,Los Angeles County,91722
472,Santa Clara County,94040
473,Orange County,92833
474,San Diego County,92028
475,Modoc County,96006
476,Glenn County,95920
477,Kern County,93309
478,Riverside County,92254
479,Los Angeles County,90305
480,Fresno County,93631
481,Los Angeles County,91356
482,Orange County,90621
483,Riverside County,92590
484,Los Angeles County,91723
485,El Dorado County,95614
486,San Diego County,92061
487,San Bernardino County,92324
488,Monterey County,93924
489,Imperial County,92227
490,San Bernardino County,92315
491,San Joaquin County,95240
492,San Joaquin County,95202
493,San Diego County,92059
494,Orange County,92805
495,Alameda County,94618
496,San Francisco County,94102
497,Stanislaus County,95360
498,Los Angeles County,91607
499,San Diego County,92123
500,Monterey County,93924
501,Orange County,92780
502,Los Angeles County,90026
503,Los Angeles County,91101
504,San Diego County,92105
505,Orange County,92835
506,Inyo County,93514
507,Siskiyou County,96038
508,Orange County,92610
509,Riverside County,92211
510,Yolo County,95776
511,Madera County,93610
512,Sonoma County,94928
513,Alameda County,94502
514,Orange County,92625
515,Humboldt County,95511
516,Santa Clara County,95037
517,Kings County,93239
518,Los Angeles County,91001
519,Los Angeles County,90059
520,Contra Costa County,94549
521,Tulare County,93260
522,Los Angeles County,90068
523,Riverside County,92592
524,Humboldt County,95519
525,Mendocino County,95454
526,Los Angeles County,90047
527,Orange County,92866
528,Tulare County,93615
529,Santa Clara County,95148
530,Alameda County,94501
531,San Francisco County,94107
532,San Diego County,92128
533,Orange County,92691
534,Orange County,92661
535,Los Angeles County,90036
536,San Joaquin County,95209
537,San Bernardino County,92342
538,San Diego County,92126
539,El Dorado County,95682
540,Santa Clara County,95070
541,Contra Costa County,94518
542,Los Angeles County,91606
543,Los Angeles County,91792
544,Contra Costa County,94519
545,Yuba County,95961
546,San Francisco County,94132
547,Humboldt County,95570
548,Orange County,92843
549,Sacramento County,95830
550,Los Angeles County,91001
551,Shasta County,96016
552,Tulare County,93256
553,Tuolumne County,95310
554,San Diego County,92027
555,Calaveras County,95250
556,Tuolumne County,95364
557,Los Angeles County,90069
558,San Luis Obispo County,93401
559,Amador County,95665
560,San Diego County,92126
561,Alameda County,94550
562,San Bernardino County,92356
563,Yolo County,95612
564,San Diego County,92104
565,Fresno County,93210
566,Shasta County,96013
567,San Diego County,91932
568,Los Angeles County,91732
569,Los Angeles County,90048
570,Los Angeles County,90039
571,Siskiyou County,96031
572,Los Angeles County,90292
573,Placer County,95650
574,Shasta County,96001
575,Monterey County,93940
576,Contra Costa County,94565
577,Los Angeles County,90036
578,Lake County,95423
579,Riverside County,92585
580,Santa Clara County,95133
581,Los Angeles County,90713
582,Butte County,95969
583,Ventura County,91361
584,Santa Cruz County,95018
585,San Bernardino County,92338
586,Santa Clara County,95129
587,Tehama County,96055
588,Imperial County,92227
589,Alameda County,94601
590,Del Norte County,95548
591,Sierra County,96124
592,Trinity County,96010
593,Merced County,93620
594,Calaveras County,95245
595,Butte County,95973
596,Orange County,92701
597,Yolo County,95694
598,San Bernardino County,92345
599,Solano County,95688
600,Los Angeles County,91436
601,Los Angeles County,93551
602,Tulare County,93274
603,Los Angeles County,91367
604,Santa Clara County,94043
605,Lake County,95422
606,Marin County,94947
607,Los Angeles County,91301
608,Alameda County,94621
609,Los Angeles County,91724
610,Sutter County,95668
611,Sacramento County,95670
612,Alameda County,94502
613,Los Angeles County,91711
614,Mariposa County,95325
615,Riverside County,92276
616,Los Angeles County,91367
617,Kern County,93205
618,Los Angeles County,91016
619,Santa Cruz County,95073
620,Los Angeles County,91384
621,Los Angeles County,91207
622,Los Angeles County,91301
623,Monterey County,93940
624,San Diego County,92122
625,Amador County,95629
626,Fresno County,93675
627,Santa Barbara County,93460
628,Butte County,95941
629,Calaveras County,95257
630,Riverside County,92883
631,Trinity County,96048
632,San Diego County,92029
633,Los Angeles County,90029
634,San Diego County,92121
635,Sonoma County,95442
636,Ventura County,93041
637,San Diego County,92122
638,Orange County,92841
639,Los Angeles County,90260
640,San Diego County,92071
641,San Joaquin County,95220
642,Napa County,94508
643,Los Angeles County,91733
644,San Joaquin County,95203
645,Los Angeles County,91207
646,San Diego County,92101
647,San Diego County,92117
648,Sutter County,95659
649,Amador County,95669
650,Los Angeles County,91504
651,San Diego County,92129
652,Sierra County,96125
653,Fresno County,93703
654,Ventura County,91377
655,Trinity County,95595
656,Fresno County,93711
657,Sacramento County,95830
658,Alameda County,94544
659,Santa Clara County,95118
660,Santa Clara County,95123
661,Los Angeles County,91208
662,Riverside County,92592
663,Santa Clara County,94305
664,San Mateo County,94074
665,Placer County,95713
666,Los Angeles County,91602
667,Riverside County,92320
668,Los Angeles County,90028
669,San Diego County,92024
670,San Diego County,92121
671,Los Angeles County,90604
672,Sacramento County,95831
673,Los Angeles County,90024
674,Alameda County,94541
675,Mendocino County,95460
676,Kern County,93308
677,San Francisco County,94127
678,Los Angeles County,90021
679,Los Angeles County,91770
680,San Bernardino County,91730
681,Los Angeles County,91301
682,Orange County,92618
683,El Dorado County,95623
684,San Bernardino County,92305
685,Plumas County,96122
686,Lassen County,96137
687,San Diego County,92116
688,Contra Costa County,94520
689,Fresno County,93664
690,Santa Clara County,95008
691,Mono County,93517
692,Mendocino County,95415
693,Orange County,90623
694,Butte County,95954
695,Shasta County,96033
696,Riverside County,92881
697,Mono County,96107
698,San Joaquin County,95258
